Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-08-28 08:26:11,false,"Austin Carrera","9.81","1,350","02:10:51","147","171","3.4","131","235","13:21","1:50","314","527","0.92","0.0","0.0","0","13:22","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:32.76.2","10","0.0","32","22","40","00:00:00","02:11:59","363","592"
Running,2022-08-26 06:09:35,false,"Austin Carrera","4.00","546","00:50:29","144","158","2.5","142","219","12:38","9:20","63","83","0.90","0.0","0.0","0","12:31","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:59.95.5","4","0.0","31","18","37","00:49:43","00:50:29","612","689"
Running,2022-08-25 06:06:22,false,"Austin Carrera","1.00","139","00:12:04","142","168","1.9","137","204","12:05","9:41","23","196","0.97","0.0","0.0","0","12:10","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","12:04.42.9","1","0.0","--","--","--","00:11:56","00:12:04","519","547"
Running,2022-08-24 06:08:34,false,"Austin Carrera","3.01","437","00:40:01","143","167","2.6","121","239","13:17","3:16","92","234","1.02","0.0","0.0","0","13:24","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:12.85","4","0.0","31","18","42","00:39:50","00:40:01","510","541"
Running,2022-08-23 06:08:38,false,"Austin Carrera","4.91","652","00:59:43","144","155","2.8","139","212","12:10","9:27","110","307","0.95","0.0","0.0","0","12:11","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","11:10.06.2","5","0.0","30","15","37","00:59:39","01:00:54","440","538"
Running,2022-08-22 06:10:14,false,"Austin Carrera","1.00","138","00:12:06","142","158","1.8","140","161","12:07","9:59","27","185","0.95","0.0","0.0","0","12:14","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","12:06.02.3","1","0.0","--","--","--","00:11:54","00:12:06","511","546"
Running,2022-08-21 09:04:59,false,"Austin Carrera","9.00","1,219","02:02:45","147","164","3.3","128","239","13:38","4:51","270","334","0.92","0.0","0.0","0","13:40","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","00:02.41.1","10","0.0","31","20","38","02:02:18","02:02:45","378","539"
Running,2022-08-18 11:35:44,false,"Austin Carrera","3.50","503","00:46:07","145","161","2.5","127","219","13:12","8:51","158","83","0.96","0.0","0.0","0","13:03","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","07:09.87.2","4","0.0","33","21","40","00:46:04","00:46:07","537","617"
Running,2022-08-18 06:09:45,false,"Austin Carrera","0.08","8","00:00:51.9","120","134","0.1","152","155","10:21","9:45","4","--","1.02","0.0","0.0","0","9:58","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:01.23.1","3","0.0","--","--","--","00:00:50.7","00:00:52.8","537","542"
Running,2022-08-17 06:11:32,false,"Austin Carrera","2.98","441","00:42:44","139","167","2.4","108","236","14:21","3:12","119","132","1.03","0.0","0.0","0","14:26","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:01.57.2","15","0.0","30","19","40","00:39:01","00:42:45","490","541"
Running,2022-08-16 11:45:00,false,"Austin Carrera","3.97","559","00:51:32","144","157","2.8","124","214","12:59","8:27","218","205","1.00","0.0","0.0","0","12:55","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:01.82.8","5","0.0","32","17","41","00:48:42","00:51:33","487","552"
Running,2022-08-16 06:05:44,false,"Austin Running","1.00","137","00:11:45","140","155","2.0","141","212","11:44","9:16","30","151","0.97","0.0","0.0","0","11:38","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","11:45.11.4","1","0.0","--","--","--","00:11:34","00:11:45","511","545"
Running,2022-08-15 11:26:43,false,"Austin Running","1.00","133","00:10:47","141","151","2.0","144","159","10:47","9:43","24","163","1.04","0.0","0.0","0","10:54","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","10:47.13","1","0.0","--","--","--","00:10:44","00:10:47","514","543"
Running,2022-08-14 08:32:29,false,"Austin Running","9.26","1,246","01:55:46","146","160","3.3","136","224","12:30","6:09","181","303","0.94","0.0","0.0","0","12:33","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","03:35.90.4","10","0.0","32","25","38","01:54:27","01:55:46","403","535"
Running,2022-08-13 10:48:29,false,"Austin Running","0.37","54","00:04:44.4","142","153","0.8","137","216","12:44","9:53","22","4","0.92","0.0","0.0","0","12:29","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","04:44.42.8","1","0.0","33","28","36","00:04:44","00:04:45.5","493","517"
Running,2022-08-13 10:25:45,false,"Austin Running","1.81","250","00:22:22","137","154","2.2","138","219","12:21","9:37","33","185","0.94","0.0","0.0","0","12:22","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","10:29.25.2","2","0.0","31","22","35","00:22:09","00:22:22","486","525"
Running,2022-08-12 11:39:45,false,"Austin Running","1.00","132","00:11:37","142","154","1.6","143","221","11:34","8:56","26","185","0.97","0.0","0.0","0","11:47","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","00:02.51.7","2","0.0","--","--","--","00:11:33","00:11:37","509","538"
Running,2022-08-11 11:42:02,false,"Austin Running","4.01","551","00:49:48","147","167","2.7","136","209","12:26","7:34","119","134","0.95","0.0","0.0","0","12:25","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","00:04.61.8","5","0.0","32","15","39","00:49:37","00:50:16","456","539"
Running,2022-08-11 06:03:29,false,"Austin Running","1.01","142","00:11:12","134","148","2.2","151","161","11:06","10:01","20","182","0.96","0.0","0.0","0","10:58","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","00:06.58.3","2","0.0","--","--","--","00:11:06","00:11:12","516","543"
Running,2022-08-10 06:08:08,false,"Austin Running","3.01","405","00:35:37","145","159","2.5","147","157","11:51","9:25","99","101","0.92","0.0","0.0","0","11:46","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:04.98.9","4","0.0","--","--","--","00:35:36","00:35:37","497","541"
Running,2022-08-09 11:45:50,false,"Austin - Speed Repeats","4.50","718","00:58:53","159","193","3.7","107","217","13:05","5:54","202","181","1.21","0.0","0.0","0","13:04","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","87.8","0:00","No","00:04.38.1","29","0.0","--","--","--","00:47:35","00:58:56","148","556"
Running,2022-08-09 11:44:54,false,"Running","0.00","--","00:00:02.9","111","111","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:02.89.8","1","0.0","--","--","--","00:00:00","00:00:02.9","540","540"
Running,2022-08-08 06:05:33,false,"Austin Running","1.00","137","00:10:11","147","168","2.2","153","164","10:11","9:06","24","181","1.03","0.0","0.0","0","10:02","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","10:11.09","1","0.0","--","--","--","00:10:01","00:10:11","524","551"
Running,2022-08-07 07:55:54,false,"Austin - Magic Mile","3.39","440","00:33:00","160","189","3.4","140","215","9:44","4:21","82","83","1.16","0.0","0.0","0","9:49","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:30.00","18","0.0","35","21","44","00:32:46","00:36:02","496","541"
Running,2022-08-04 06:09:13,false,"Austin - Goal Pace Repeats","4.39","670","00:54:01","156","185","3.7","105","212","12:18","3:29","151","335","1.25","0.0","0.0","0","12:20","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:30.00","27","0.0","34","20","45","00:42:47","00:54:01","461","539"
Running,2022-08-03 11:35:29,false,"Austin - Magic Mile","0.53","73","00:07:18.8","121","143","1.3","109","210","13:48","6:19","31","21","1.06","0.0","0.0","0","13:55","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:00.83.4","17","0.0","--","--","--","00:05:40.6","00:07:20.5","512","547"
Running,2022-08-01 11:38:13,false,"Austin Running","1.00","133","00:10:48","139","150","2.0","148","157","10:47","9:39","27","126","1.01","0.0","0.0","0","10:45","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:00.17","2","0.0","--","--","--","00:10:38","00:10:48","531","553"
Running,2022-07-31 08:28:12,false,"Austin - Long Easy Run","11.27","1,635","02:30:07","159","176","4.3","129","224","13:19","8:33","604","632","0.94","0.0","0.0","0","13:20","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","05:00.00","13","0.0","35","18","42","02:23:50","02:30:07","104","540"
Running,2022-07-29 06:08:52,false,"Austin Running","1.01","138","00:10:43","146","162","2.1","152","164","10:39","9:15","28","161","1.00","0.0","0.0","0","10:38","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","00:04.52.6","2","0.0","--","--","--","00:10:31","00:10:43","522","548"
Running,2022-07-28 11:42:27,false,"Austin - Hill Repeats","2.31","410","00:34:33","151","173","3.0","101","221","14:56","2:49","314","315","1.21","0.0","0.0","0","14:44","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","00:03.18","41","0.0","33","15","42","00:30:22","00:34:40","404","538"
Running,2022-07-26 17:25:11,false,"Austin - Goal Pace Repeats","4.95","743","01:01:19","156","181","3.8","110","220","12:24","4:57","245","217","1.13","0.0","0.0","0","12:25","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","00:26.97.9","29","0.0","34","20","43","00:53:43","01:01:19","442","596"
Running,2022-07-26 11:40:29,false,"Austin Running","1.00","124","00:08:40.9","152","169","2.3","155","165","8:40","7:51","18","35","1.20","0.0","0.0","0","8:45","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:00.74.4","2","0.0","--","--","--","00:08:40.7","00:08:40.9","500","539"
Running,2022-07-25 11:36:10,false,"Austin Running","1.00","120","00:07:53.7","154","170","2.5","156","167","7:52","6:54","34","151","1.31","0.0","0.0","0","7:42","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","00:01.54.7","2","0.0","--","--","--","00:07:51.5","00:07:53.7","519","551"
Running,2022-07-24 08:33:19,false,"Austin - Speed Repeats","4.79","683","00:58:19","153","179","3.6","110","218","12:11","5:38","168","182","1.13","0.0","0.0","0","12:09","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","00:05.34.9","29","0.0","34","23","42","00:48:44","00:58:19","483","539"
Running,2022-07-23 11:12:28,false,"Austin Running","1.01","127","00:08:55.1","134","153","2.4","148","198","8:52","8:09","26","23","1.22","0.0","0.0","0","9:02","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","87.8","0:00","No","00:02.29.8","2","0.0","--","--","--","00:08:54.3","00:08:55.1","510","544"
Running,2022-07-22 11:28:12,false,"Austin Running","1.01","127","00:08:28.0","137","166","2.5","152","163","8:24","7:34","43","35","1.26","0.0","0.0","0","8:22","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:02.96","2","0.0","--","--","--","00:08:17.0","00:08:29.5","504","547"
Running,2022-07-21 11:31:39,false,"Austin Running","1.00","121","00:07:49.4","149","168","2.6","152","162","7:50","6:31","34","168","1.35","0.0","0.0","0","7:50","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","87.8","0:00","No","07:49.44.2","1","0.0","--","--","--","00:07:49","00:07:49.4","503","543"
Running,2022-07-18 11:24:02,false,"Austin Running","1.01","132","00:09:44.8","147","164","2.2","153","161","9:42","9:02","50","34","1.09","0.0","0.0","0","9:38","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:04.47.7","2","0.0","--","--","--","00:09:44.4","00:09:44.8","506","554"
Running,2022-07-17 09:20:34,false,"Austin - Long Easy Run","9.29","1,320","01:46:25","159","175","4.5","139","215","11:27","9:02","261","260","1.01","0.0","0.0","0","11:26","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","80.6","0:00","No","03:19.02.2","11","0.0","36","13","42","01:43:26","01:46:25","425","541"
Running,2022-07-15 11:26:25,false,"Austin Running","1.00","123","00:08:02.4","155","173","2.5","154","164","8:01","5:24","64","65","1.31","0.0","0.0","0","7:59","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:02.19.7","2","0.0","--","--","--","00:08:00","00:08:02.4","505","552"
Running,2022-07-10 08:24:28,false,"Austin - Run Walk Run®","5.21","706","00:58:15","141","178","3.4","136","212","11:10","7:03","175","92","1.05","0.0","0.0","0","11:11","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","03:11.67.5","7","0.0","34","16","42","00:55:38","00:58:15","465","539"
Running,2022-07-08 11:56:49,false,"Austin Running","2.50","352","00:28:40","152","166","2.7","143","227","11:28","7:17","72","69","0.98","0.0","0.0","0","11:30","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","87.8","0:00","No","06:15.75.7","3","0.0","33","18","39","00:28:39","00:28:40","497","541"
Running,2022-07-07 13:13:27,false,"Austin Running","1.02","208","00:18:13","145","166","2.1","101","212","17:55","8:52","126","78","0.87","0.0","0.0","0","17:41","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","00:00.81","3","0.0","32","25","36","00:15:52","00:18:13","425","556"
Running,2022-07-07 13:03:39,false,"Austin Running","1.00","106","00:06:36.5","176","187","2.6","155","168","6:36","6:02","17","16","1.57","0.0","0.0","0","6:37","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","06:36.47.5","1","0.0","40","26","47","00:06:33","00:07:54.2","503","514"
Running,2022-07-06 11:58:54,false,"Austin Running","3.54","574","00:47:06","150","177","3.2","108","229","13:17","2:37","257","240","1.14","0.0","0.0","0","13:19","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:00.73.1","6","0.0","34","19","44","00:41:54","00:47:06","361","612"
Running,2022-07-05 11:59:17,false,"Austin - Goal Pace Repeats","4.83","655","01:00:13","149","170","3.3","126","209","12:29","5:14","280","201","1.01","0.0","0.0","0","12:32","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:00.68.9","30","0.0","--","--","--","00:59:32","01:01:47","484","541"
Running,2022-07-03 08:08:59,false,"Austin - Long Easy Run","7.23","1,041","01:29:36","153","187","3.7","132","204","12:23","5:48","292","269","1.00","0.0","0.0","0","12:24","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","05:00.00","9","0.0","34","16","41","01:24:30","01:30:51","389","559"
